nearest_kb_similarity_threshold,centroid_similarity_threshold,lexical_gate_required,ticket_threshold,Tool Decision Accuracy,ANSWER F1,TICKET F1,REJECT F1,Macro-F1,FalseRejectRate,FalseAcceptRate,OODAnswerRate,TicketMissRate
0.4,0.4,True,0.3,0.693,0.7729970326409494,0.6137931034482759,0.4585635359116022,0.6151178906669424,0.09875,0.585,0.58,0.555
0.4,0.4,True,0.35,0.693,0.7729970326409494,0.6137931034482759,0.4585635359116022,0.6151178906669424,0.09875,0.585,0.58,0.555
0.4,0.4,True,0.4,0.693,0.7729970326409494,0.6137931034482759,0.4585635359116022,0.6151178906669424,0.09875,0.585,0.58,0.555
0.4,0.4,True,0.45,0.693,0.7729970326409494,0.6137931034482759,0.4585635359116022,0.6151178906669424,0.09875,0.585,0.58,0.555
0.4,0.4,False,0.3,0.688,0.775112443778111,0.555956678700361,0.48329048843187655,0.6047865369701162,0.11875,0.53,0.53,0.615
0.4,0.4,False,0.35,0.688,0.775112443778111,0.555956678700361,0.48329048843187655,0.6047865369701162,0.11875,0.53,0.53,0.615
0.4,0.4,False,0.4,0.688,0.775112443778111,0.555956678700361,0.48329048843187655,0.6047865369701162,0.11875,0.53,0.53,0.615
0.4,0.4,False,0.45,0.688,0.775112443778111,0.555956678700361,0.48329048843187655,0.6047865369701162,0.11875,0.53,0.53,0.615
0.4,0.45,True,0.3,0.689,0.7693452380952381,0.6137931034482759,0.45355191256830596,0.61223008470394,0.10375,0.585,0.58,0.555
0.4,0.45,True,0.35,0.689,0.7693452380952381,0.6137931034482759,0.45355191256830596,0.61223008470394,0.10375,0.585,0.58,0.555
0.4,0.45,True,0.4,0.689,0.7693452380952381,0.6137931034482759,0.45355191256830596,0.61223008470394,0.10375,0.585,0.58,0.555
0.4,0.45,True,0.45,0.689,0.7693452380952381,0.6137931034482759,0.45355191256830596,0.61223008470394,0.10375,0.585,0.58,0.555
0.4,0.45,False,0.3,0.684,0.7714285714285715,0.555956678700361,0.47837150127226463,0.6019189171337324,0.12375,0.53,0.53,0.615
0.4,0.45,False,0.35,0.684,0.7714285714285715,0.555956678700361,0.47837150127226463,0.6019189171337324,0.12375,0.53,0.53,0.615
0.4,0.45,False,0.4,0.684,0.7714285714285715,0.555956678700361,0.47837150127226463,0.6019189171337324,0.12375,0.53,0.53,0.615
0.4,0.45,False,0.45,0.684,0.7714285714285715,0.555956678700361,0.47837150127226463,0.6019189171337324,0.12375,0.53,0.53,0.615
0.4,0.5,True,0.3,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.5,True,0.35,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.5,True,0.4,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.5,True,0.45,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.5,False,0.3,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.5,False,0.35,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.5,False,0.4,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.5,False,0.45,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.55,True,0.3,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.55,True,0.35,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.55,True,0.4,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.55,True,0.45,0.686,0.7665920954511559,0.6137931034482759,0.44986449864498645,0.6100832325148061,0.1075,0.585,0.58,0.555
0.4,0.55,False,0.3,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.55,False,0.35,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.55,False,0.4,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.4,0.55,False,0.45,0.681,0.7686510926902788,0.555956678700361,0.47474747474747475,0.5997850820460381,0.1275,0.53,0.53,0.615
0.45,0.4,True,0.3,0.663,0.7379095163806552,0.6137931034482759,0.47196261682242985,0.6078884122171203,0.15875,0.495,0.49,0.555
0.45,0.4,True,0.35,0.663,0.7379095163806552,0.6137931034482759,0.47196261682242985,0.6078884122171203,0.15875,0.495,0.49,0.555
0.45,0.4,True,0.4,0.663,0.7379095163806552,0.6137931034482759,0.47196261682242985,0.6078884122171203,0.15875,0.495,0.49,0.555
0.45,0.4,True,0.45,0.663,0.7379095163806552,0.6137931034482759,0.47196261682242985,0.6078884122171203,0.15875,0.495,0.49,0.555
0.45,0.4,False,0.3,0.652,0.7324840764331211,0.555956678700361,0.4925053533190578,0.5936487028175133,0.19,0.425,0.425,0.615
0.45,0.4,False,0.35,0.652,0.7324840764331211,0.555956678700361,0.4925053533190578,0.5936487028175133,0.19,0.425,0.425,0.615
0.45,0.4,False,0.4,0.652,0.7324840764331211,0.555956678700361,0.4925053533190578,0.5936487028175133,0.19,0.425,0.425,0.615
0.45,0.4,False,0.45,0.652,0.7324840764331211,0.555956678700361,0.4925053533190578,0.5936487028175133,0.19,0.425,0.425,0.615
0.45,0.45,True,0.3,0.652,0.7269866247049569,0.6137931034482759,0.4601366742596811,0.6003054674709712,0.1725,0.495,0.49,0.555
0.45,0.45,True,0.35,0.652,0.7269866247049569,0.6137931034482759,0.4601366742596811,0.6003054674709712,0.1725,0.495,0.49,0.555
0.45,0.45,True,0.4,0.652,0.7269866247049569,0.6137931034482759,0.4601366742596811,0.6003054674709712,0.1725,0.495,0.49,0.555
0.45,0.45,True,0.45,0.652,0.7269866247049569,0.6137931034482759,0.4601366742596811,0.6003054674709712,0.1725,0.495,0.49,0.555
0.45,0.45,False,0.3,0.641,0.7212851405622489,0.555956678700361,0.4811715481171548,0.5861377891265882,0.20375,0.425,0.425,0.615
0.45,0.45,False,0.35,0.641,0.7212851405622489,0.555956678700361,0.4811715481171548,0.5861377891265882,0.20375,0.425,0.425,0.615
0.45,0.45,False,0.4,0.641,0.7212851405622489,0.555956678700361,0.4811715481171548,0.5861377891265882,0.20375,0.425,0.425,0.615
0.45,0.45,False,0.45,0.641,0.7212851405622489,0.555956678700361,0.4811715481171548,0.5861377891265882,0.20375,0.425,0.425,0.615
0.45,0.5,True,0.3,0.641,0.715873015873016,0.6137931034482759,0.4488888888888889,0.5928516694033936,0.18625,0.495,0.49,0.555
0.45,0.5,True,0.35,0.641,0.715873015873016,0.6137931034482759,0.4488888888888889,0.5928516694033936,0.18625,0.495,0.49,0.555
0.45,0.5,True,0.4,0.641,0.715873015873016,0.6137931034482759,0.4488888888888889,0.5928516694033936,0.18625,0.495,0.49,0.555
0.45,0.5,True,0.45,0.641,0.715873015873016,0.6137931034482759,0.4488888888888889,0.5928516694033936,0.18625,0.495,0.49,0.555
0.45,0.5,False,0.3,0.63,0.7098865478119935,0.555956678700361,0.4703476482617587,0.5787302915913711,0.2175,0.425,0.425,0.615
0.45,0.5,False,0.35,0.63,0.7098865478119935,0.555956678700361,0.4703476482617587,0.5787302915913711,0.2175,0.425,0.425,0.615
0.45,0.5,False,0.4,0.63,0.7098865478119935,0.555956678700361,0.4703476482617587,0.5787302915913711,0.2175,0.425,0.425,0.615
0.45,0.5,False,0.45,0.63,0.7098865478119935,0.555956678700361,0.4703476482617587,0.5787302915913711,0.2175,0.425,0.425,0.615
0.45,0.55,True,0.3,0.64,0.7148530579825257,0.6137931034482759,0.44789356984478934,0.5921799104251969,0.1875,0.495,0.49,0.555
0.45,0.55,True,0.35,0.64,0.7148530579825257,0.6137931034482759,0.44789356984478934,0.5921799104251969,0.1875,0.495,0.49,0.555
0.45,0.55,True,0.4,0.64,0.7148530579825257,0.6137931034482759,0.44789356984478934,0.5921799104251969,0.1875,0.495,0.49,0.555
0.45,0.55,True,0.45,0.64,0.7148530579825257,0.6137931034482759,0.44789356984478934,0.5921799104251969,0.1875,0.495,0.49,0.555
0.45,0.55,False,0.3,0.629,0.7088402270884023,0.555956678700361,0.46938775510204084,0.5780615536302681,0.21875,0.425,0.425,0.615
0.45,0.55,False,0.35,0.629,0.7088402270884023,0.555956678700361,0.46938775510204084,0.5780615536302681,0.21875,0.425,0.425,0.615
0.45,0.55,False,0.4,0.629,0.7088402270884023,0.555956678700361,0.46938775510204084,0.5780615536302681,0.21875,0.425,0.425,0.615
0.45,0.55,False,0.45,0.629,0.7088402270884023,0.555956678700361,0.46938775510204084,0.5780615536302681,0.21875,0.425,0.425,0.615
0.5,0.4,True,0.3,0.597,0.6760797342192691,0.6137931034482759,0.3992094861660078,0.563027441277851,0.25625,0.495,0.49,0.555
0.5,0.4,True,0.35,0.597,0.6760797342192691,0.6137931034482759,0.3992094861660078,0.563027441277851,0.25625,0.495,0.49,0.555
0.5,0.4,True,0.4,0.597,0.6760797342192691,0.6137931034482759,0.3992094861660078,0.563027441277851,0.25625,0.495,0.49,0.555
0.5,0.4,True,0.45,0.597,0.6760797342192691,0.6137931034482759,0.3992094861660078,0.563027441277851,0.25625,0.495,0.49,0.555
0.5,0.4,False,0.3,0.598,0.6708074534161491,0.5185185185185185,0.49751243781094534,0.5622794699152043,0.31625,0.25,0.25,0.65
0.5,0.4,False,0.35,0.598,0.6708074534161491,0.5185185185185185,0.49751243781094534,0.5622794699152043,0.31625,0.25,0.25,0.65
0.5,0.4,False,0.4,0.598,0.6708074534161491,0.5185185185185185,0.49751243781094534,0.5622794699152043,0.31625,0.25,0.25,0.65
0.5,0.4,False,0.45,0.598,0.6708074534161491,0.5185185185185185,0.49751243781094534,0.5622794699152043,0.31625,0.25,0.25,0.65
0.5,0.45,True,0.3,0.583,0.6605042016806723,0.6137931034482759,0.3884615384615385,0.5542529478634955,0.27375,0.495,0.49,0.555
0.5,0.45,True,0.35,0.583,0.6605042016806723,0.6137931034482759,0.3884615384615385,0.5542529478634955,0.27375,0.495,0.49,0.555
0.5,0.45,True,0.4,0.583,0.6605042016806723,0.6137931034482759,0.3884615384615385,0.5542529478634955,0.27375,0.495,0.49,0.555
0.5,0.45,True,0.45,0.583,0.6605042016806723,0.6137931034482759,0.3884615384615385,0.5542529478634955,0.27375,0.495,0.49,0.555
0.5,0.45,False,0.3,0.581,0.6504504504504505,0.5185185185185185,0.48387096774193544,0.5509466455703015,0.3375,0.25,0.25,0.65
0.5,0.45,False,0.35,0.581,0.6504504504504505,0.5185185185185185,0.48387096774193544,0.5509466455703015,0.3375,0.25,0.25,0.65
0.5,0.45,False,0.4,0.581,0.6504504504504505,0.5185185185185185,0.48387096774193544,0.5509466455703015,0.3375,0.25,0.25,0.65
0.5,0.45,False,0.45,0.581,0.6504504504504505,0.5185185185185185,0.48387096774193544,0.5509466455703015,0.3375,0.25,0.25,0.65
0.5,0.5,True,0.3,0.567,0.6422487223168655,0.6137931034482759,0.376865671641791,0.5443024991356441,0.29375,0.495,0.49,0.555
0.5,0.5,True,0.35,0.567,0.6422487223168655,0.6137931034482759,0.376865671641791,0.5443024991356441,0.29375,0.495,0.49,0.555
0.5,0.5,True,0.4,0.567,0.6422487223168655,0.6137931034482759,0.376865671641791,0.5443024991356441,0.29375,0.495,0.49,0.555
0.5,0.5,True,0.45,0.567,0.6422487223168655,0.6137931034482759,0.376865671641791,0.5443024991356441,0.29375,0.495,0.49,0.555
0.5,0.5,False,0.3,0.563,0.6282051282051282,0.5185185185185185,0.47021943573667707,0.5389810274867747,0.36,0.25,0.25,0.65
0.5,0.5,False,0.35,0.563,0.6282051282051282,0.5185185185185185,0.47021943573667707,0.5389810274867747,0.36,0.25,0.25,0.65
0.5,0.5,False,0.4,0.563,0.6282051282051282,0.5185185185185185,0.47021943573667707,0.5389810274867747,0.36,0.25,0.25,0.65
0.5,0.5,False,0.45,0.563,0.6282051282051282,0.5185185185185185,0.47021943573667707,0.5389810274867747,0.36,0.25,0.25,0.65
0.5,0.55,True,0.3,0.562,0.6364414029084687,0.6137931034482759,0.3733826247689464,0.5412057103752304,0.3,0.495,0.49,0.555
0.5,0.55,True,0.35,0.562,0.6364414029084687,0.6137931034482759,0.3733826247689464,0.5412057103752304,0.3,0.495,0.49,0.555
0.5,0.55,True,0.4,0.562,0.6364414029084687,0.6137931034482759,0.3733826247689464,0.5412057103752304,0.3,0.495,0.49,0.555
0.5,0.55,True,0.45,0.562,0.6364414029084687,0.6137931034482759,0.3733826247689464,0.5412057103752304,0.3,0.495,0.49,0.555
0.5,0.55,False,0.3,0.556,0.6193548387096774,0.5185185185185185,0.4651162790697675,0.5343298787659877,0.36875,0.25,0.25,0.65
0.5,0.55,False,0.35,0.556,0.6193548387096774,0.5185185185185185,0.4651162790697675,0.5343298787659877,0.36875,0.25,0.25,0.65
0.5,0.55,False,0.4,0.556,0.6193548387096774,0.5185185185185185,0.4651162790697675,0.5343298787659877,0.36875,0.25,0.25,0.65
0.5,0.55,False,0.45,0.556,0.6193548387096774,0.5185185185185185,0.4651162790697675,0.5343298787659877,0.36875,0.25,0.25,0.65
0.55,0.4,True,0.3,0.564,0.6379613356766257,0.6137931034482759,0.39160839160839167,0.5477876102444311,0.325,0.44,0.435,0.555
0.55,0.4,True,0.35,0.564,0.6379613356766257,0.6137931034482759,0.39160839160839167,0.5477876102444311,0.325,0.44,0.435,0.555
0.55,0.4,True,0.4,0.564,0.6379613356766257,0.6137931034482759,0.39160839160839167,0.5477876102444311,0.325,0.44,0.435,0.555
0.55,0.4,True,0.45,0.564,0.6379613356766257,0.6137931034482759,0.39160839160839167,0.5477876102444311,0.325,0.44,0.435,0.555
0.55,0.4,False,0.3,0.537,0.6451612903225806,0.3263598326359833,0.4629388816644993,0.47815333487435435,0.48875,0.11,0.11,0.805
0.55,0.4,False,0.35,0.537,0.6451612903225806,0.3263598326359833,0.4629388816644993,0.47815333487435435,0.48875,0.11,0.11,0.805
0.55,0.4,False,0.4,0.537,0.6451612903225806,0.3263598326359833,0.4629388816644993,0.47815333487435435,0.48875,0.11,0.11,0.805
0.55,0.4,False,0.45,0.537,0.6451612903225806,0.3263598326359833,0.4629388816644993,0.47815333487435435,0.48875,0.11,0.11,0.805
0.55,0.45,True,0.3,0.544,0.6135957066189625,0.6137931034482759,0.37837837837837834,0.5352557294818722,0.35,0.44,0.435,0.555
0.55,0.45,True,0.35,0.544,0.6135957066189625,0.6137931034482759,0.37837837837837834,0.5352557294818722,0.35,0.44,0.435,0.555
0.55,0.45,True,0.4,0.544,0.6135957066189625,0.6137931034482759,0.37837837837837834,0.5352557294818722,0.35,0.44,0.435,0.555
0.55,0.45,True,0.45,0.544,0.6135957066189625,0.6137931034482759,0.37837837837837834,0.5352557294818722,0.35,0.44,0.435,0.555
0.55,0.45,False,0.3,0.509,0.6058091286307055,0.3263598326359833,0.4466750313676286,0.45961466421143915,0.52375,0.11,0.11,0.805
0.55,0.45,False,0.35,0.509,0.6058091286307055,0.3263598326359833,0.4466750313676286,0.45961466421143915,0.52375,0.11,0.11,0.805
0.55,0.45,False,0.4,0.509,0.6058091286307055,0.3263598326359833,0.4466750313676286,0.45961466421143915,0.52375,0.11,0.11,0.805
0.55,0.45,False,0.45,0.509,0.6058091286307055,0.3263598326359833,0.4466750313676286,0.45961466421143915,0.52375,0.11,0.11,0.805
0.55,0.5,True,0.3,0.527,0.592188919164396,0.6137931034482759,0.367816091954023,0.5245993715222316,0.37125,0.44,0.435,0.555
0.55,0.5,True,0.35,0.527,0.592188919164396,0.6137931034482759,0.367816091954023,0.5245993715222316,0.37125,0.44,0.435,0.555
0.55,0.5,True,0.4,0.527,0.592188919164396,0.6137931034482759,0.367816091954023,0.5245993715222316,0.37125,0.44,0.435,0.555
0.55,0.5,True,0.45,0.527,0.592188919164396,0.6137931034482759,0.367816091954023,0.5245993715222316,0.37125,0.44,0.435,0.555
0.55,0.5,False,0.3,0.488,0.574761399787911,0.3263598326359833,0.4352078239608802,0.44544301879492476,0.55,0.11,0.11,0.805
0.55,0.5,False,0.35,0.488,0.574761399787911,0.3263598326359833,0.4352078239608802,0.44544301879492476,0.55,0.11,0.11,0.805
0.55,0.5,False,0.4,0.488,0.574761399787911,0.3263598326359833,0.4352078239608802,0.44544301879492476,0.55,0.11,0.11,0.805
0.55,0.5,False,0.45,0.488,0.574761399787911,0.3263598326359833,0.4352078239608802,0.44544301879492476,0.55,0.11,0.11,0.805
0.55,0.55,True,0.3,0.519,0.5818847209515096,0.6137931034482759,0.36304700162074555,0.5195749420068436,0.38125,0.44,0.435,0.555
0.55,0.55,True,0.35,0.519,0.5818847209515096,0.6137931034482759,0.36304700162074555,0.5195749420068436,0.38125,0.44,0.435,0.555
0.55,0.55,True,0.4,0.519,0.5818847209515096,0.6137931034482759,0.36304700162074555,0.5195749420068436,0.38125,0.44,0.435,0.555
0.55,0.55,True,0.45,0.519,0.5818847209515096,0.6137931034482759,0.36304700162074555,0.5195749420068436,0.38125,0.44,0.435,0.555
0.55,0.55,False,0.3,0.475,0.5548387096774193,0.3263598326359833,0.42839951865222614,0.4365326869885429,0.56625,0.11,0.11,0.805
0.55,0.55,False,0.35,0.475,0.5548387096774193,0.3263598326359833,0.42839951865222614,0.4365326869885429,0.56625,0.11,0.11,0.805
0.55,0.55,False,0.4,0.475,0.5548387096774193,0.3263598326359833,0.42839951865222614,0.4365326869885429,0.56625,0.11,0.11,0.805
0.55,0.55,False,0.45,0.475,0.5548387096774193,0.3263598326359833,0.42839951865222614,0.4365326869885429,0.56625,0.11,0.11,0.805
